Training 25M...
  5M
  10M
  15M
  20M
  25M
Trained.
Testing 50M with snapshots every 100K...
  10M
N,corr,z,corr_x_sqrtN
17200000,-0.0001277262,-0.5297,-0.529717
17300000,-0.0001440563,-0.5992,-0.599177
17400000,-0.0001120247,-0.4673,-0.467292
17500000,-0.0001243313,-0.5201,-0.520115
17600000,-0.0001281820,-0.5378,-0.537754
17700000,-0.0001442619,-0.6069,-0.606930
17800000,-0.0001270167,-0.5359,-0.535884
17900000,-0.0001286233,-0.5442,-0.544184
18000000,-0.0001234354,-0.5237,-0.523692
18100000,-0.0001243424,-0.5290,-0.529004
18200000,-0.0001511872,-0.6450,-0.644986
18300000,-0.0001841391,-0.7877,-0.787720
18400000,-0.0001744094,-0.7481,-0.748133
18500000,-0.0002051027,-0.8822,-0.882180
18600000,-0.0001860608,-0.8024,-0.802438
18700000,-0.0001639390,-0.7089,-0.708930
18800000,-0.0001521207,-0.6596,-0.659580
18900000,-0.0001489394,-0.6475,-0.647501
19000000,-0.0001405165,-0.6125,-0.612497
19100000,-0.0001451741,-0.6345,-0.634463
19200000,-0.0001381392,-0.6053,-0.605296
19300000,-0.0001424661,-0.6259,-0.625879
19400000,-0.0001497739,-0.6597,-0.659685
19500000,-0.0001412671,-0.6238,-0.623819
19600000,-0.0001510750,-0.6688,-0.668838
19700000,-0.0001880905,-0.8348,-0.834834
19800000,-0.0001818295,-0.8091,-0.809090
19900000,-0.0001368414,-0.6104,-0.610442
20000000,-0.0001392116,-0.6226,-0.622573
20100000,-0.0001291176,-0.5789,-0.578873
20200000,-0.0001174512,-0.5279,-0.527878  30M

20300000,-0.0000965734,-0.4351,-0.435117
20400000,-0.0001126652,-0.5089,-0.508868
20500000,-0.0001159622,-0.5250,-0.525041
20600000,-0.0001125907,-0.5110,-0.511018
20700000,-0.0000980322,-0.4460,-0.446020
20800000,-0.0001182016,-0.5391,-0.539082
20900000,-0.0001270496,-0.5808,-0.580826
21000000,-0.0001175245,-0.5386,-0.538565
21100000,-0.0001398042,-0.6422,-0.642187
21200000,-0.0001415310,-0.6517,-0.651658
21300000,-0.0001406113,-0.6489,-0.648948
21400000,-0.0001269618,-0.5873,-0.587327
21500000,-0.0001257608,-0.5831,-0.583129
21600000,-0.0001225907,-0.5698,-0.569750
21700000,-0.0001326607,-0.6180,-0.617977
21800000,-0.0001332128,-0.6220,-0.621977
21900000,-0.0001495558,-0.6999,-0.699883
22000000,-0.0001408124,-0.6605,-0.660469
22100000,-0.0001408030,-0.6619,-0.661924
22200000,-0.0001416781,-0.6675,-0.667543
22300000,-0.0001438001,-0.6791,-0.679066
22400000,-0.0001789811,-0.8471,-0.847093
22500000,-0.0001718069,-0.8150,-0.814952
22600000,-0.0001901435,-0.9039,-0.903932
22700000,-0.0001715976,-0.8176,-0.817568
22800000,-0.0001859161,-0.8877,-0.887737
22900000,-0.0001970188,-0.9428,-0.942813
23000000,-0.0001964964,-0.9424,-0.942364
23100000,-0.0002082687,-1.0010,-1.000991
23200000,-0.0001805768,-0.8698,-0.869773
23300000,-0.0001861022,-0.8983,-0.898317
23400000,-0.0001923873,-0.9306,-0.930646
23500000,-0.0001745746,-0.8463,-0.846282
23600000,-0.0001757877,-0.8540,-0.853974
23700000,-0.0001816296,-0.8842,-0.884221
23800000,-0.0001806913,-0.8815,-0.881507
23900000,-0.0001699747,-0.8310,-0.830966
24000000,-0.0001698111,-0.8319,-0.831901
24100000,-0.0001524365,-0.7483,-0.748338
24200000,-0.0001381452,-0.6796,-0.679585
24300000,-0.0001345791,-0.6634,-0.663408
24400000,-0.0001198835,-0.5922,-0.592181
24500000,-0.0001372668,-0.6794,-0.679436
24600000,-0.0001453083,-0.7207,-0.720706
24700000,-0.0001677705,-0.8338,-0.833804
24800000,-0.0001749061,-0.8710,-0.871025
24900000,-0.0001684169,-0.8404,-0.840399
25000000,-0.0001724465,-0.8622,-0.862233
25100000,-0.0001783657,-0.8936,-0.893610
25200000,-0.0001916832,-0.9622,-0.962242
25300000,-0.0001927543,-0.9695,-0.969537
25400000,-0.0001928314,-0.9718,-0.971840
25500000,-0.0001684694,-0.8507,-0.850729
25600000,-0.0001652552,-0.8361,-0.836133
25700000,-0.0001739693,-0.8819,-0.881940
25800000,-0.0002067180,-1.0500,-1.049997
25900000,-0.0002007726,-1.0218,-1.021773
26000000,-0.0001855459,-0.9461,-0.946102
26100000,-0.0001669036,-0.8527,-0.852680
26200000,-0.0001532197,-0.7843,-0.784269
26300000,-0.0001537672,-0.7886,-0.788572
26400000,-0.0001472687,-0.7567,-0.756680
26500000,-0.0001472988,-0.7583,-0.758267
26600000,-0.0001500560,-0.7739,-0.773916
26700000,-0.0001319426,-0.6818,-0.681774
26800000,-0.0001181663,-0.6117,-0.611732
26900000,-0.0001157725,-0.6005,-0.600456
27000000,-0.0001364858,-0.7092,-0.709201
27100000,-0.0001282841,-0.6678,-0.667817
27200000,-0.0001220954,-0.6368,-0.636772
27300000,-0.0001257531,-0.6571,-0.657053
27400000,-0.0000986162,-0.5162,-0.516206
27500000,-0.0000985278,-0.5167,-0.516684
27600000,-0.0000943423,-0.4956,-0.495634
27700000,-0.0000834680,-0.4393,-0.439299
27800000,-0.0000884745,-0.4665,-0.466488
27900000,-0.0000619789,-0.3274,-0.327375
28000000,-0.0000665878,-0.3523,-0.352349
28100000,-0.0000676802,-0.3588,-0.358769
28200000,-0.0000633862,-0.3366,-0.336604
28300000,-0.0000696379,-0.3705,-0.370458
28400000,-0.0000776955,-0.4141,-0.414052
28500000,-0.0000858479,-0.4583,-0.458303
28600000,-0.0000669400,-0.3580,-0.357988
28700000,-0.0000642046,-0.3440,-0.343959
28800000,-0.0000692447,-0.3716,-0.371606
28900000,-0.0000720014,-0.3871,-0.387070
29000000,-0.0000593796,-0.3198,-0.319769
29100000,-0.0000553152,-0.2984,-0.298395
29200000,-0.0000608527,-0.3288,-0.328830
29300000,-0.0000582760,-0.3154,-0.315445
29400000,-0.0000483412,-0.2621,-0.262115
29500000,-0.0000453188,-0.2461,-0.246144
29600000,-0.0000332641,-0.1810,-0.180977
29700000,-0.0000474250,-0.2585,-0.258456
29800000,-0.0000421499,-0.2301,-0.230094
29900000,-0.0000328123,-0.1794,-0.179421
30000000,0.0000073484,0.0402,0.040249
30100000,0.0000008526,0.0047,0.004678
30200000,0.0000141133,0.0776,0.077559
3030  40M
0000,0.0000165728,0.0912,0.091226
30400000,0.0000111062,0.0612,0.061235
30500000,0.0000113702,0.0628,0.062794
30600000,-0.0000039178,-0.0217,-0.021672
30700000,0.0000034938,0.0194,0.019358
30800000,0.0000053600,0.0297,0.029747
30900000,-0.0000003116,-0.0017,-0.001732
31000000,0.0000097423,0.0542,0.054243
31100000,0.0000092657,0.0517,0.051673
31200000,0.0000026683,0.0149,0.014904
31300000,-0.0000048091,-0.0269,-0.026905
31400000,-0.0000265248,-0.1486,-0.148634
31500000,-0.0000359600,-0.2018,-0.201825
31600000,-0.0000460732,-0.2590,-0.258995
31700000,-0.0000346665,-0.1952,-0.195182
31800000,-0.0000561864,-0.3168,-0.316843
31900000,-0.0000506725,-0.2862,-0.286199
32000000,-0.0000509343,-0.2881,-0.288128
32100000,-0.0000349101,-0.1978,-0.197790
32200000,-0.0000402215,-0.2282,-0.228237
32300000,-0.0000421872,-0.2398,-0.239763
32400000,-0.0000442391,-0.2518,-0.251813
32500000,-0.0000496920,-0.2833,-0.283288
32600000,-0.0000524877,-0.2997,-0.299686
32700000,-0.0000368388,-0.2107,-0.210659
32800000,-0.0000108388,-0.0621,-0.062075
32900000,-0.0000158777,-0.0911,-0.091072
33000000,-0.0000057005,-0.0327,-0.032747
33100000,0.0000034776,0.0200,0.020008
33200000,0.0000095391,0.0550,0.054964
33300000,0.0000108702,0.0627,0.062728
33400000,0.0000195860,0.1132,0.113193
33500000,0.0000264300,0.1530,0.152975
33600000,0.0000366681,0.2125,0.212549
33700000,0.0000341207,0.1981,0.198077
33800000,0.0000421095,0.2448,0.244815
33900000,0.0000295268,0.1719,0.171916
34000000,0.0000379135,0.2211,0.221072
34100000,0.0000418121,0.2442,0.244163
34200000,0.0000287890,0.1684,0.168360
34300000,0.0000429705,0.2517,0.251662
34400000,0.0000476014,0.2792,0.279190
34500000,0.0000531525,0.3122,0.312200
34600000,0.0000545493,0.3209,0.320869
34700000,0.0000477672,0.2814,0.281381
34800000,0.0000414681,0.2446,0.244626
34900000,0.0000418652,0.2473,0.247324
35000000,0.0000347729,0.2057,0.205719
35100000,0.0000362016,0.2145,0.214477
35200000,0.0000398162,0.2362,0.236228
35300000,0.0000394025,0.2341,0.234105
35400000,0.0000355536,0.2115,0.211536
35500000,0.0000291252,0.1735,0.173533
35600000,0.0000289343,0.1726,0.172639
35700000,0.0000318542,0.1903,0.190327
35800000,0.0000292698,0.1751,0.175130
35900000,0.0000210908,0.1264,0.126369
36000000,0.0000293976,0.1764,0.176385
36100000,0.0000276027,0.1658,0.165846
36200000,0.0000329420,0.1982,0.198200
36300000,0.0000189737,0.1143,0.114316
36400000,0.0000189693,0.1144,0.114446
36500000,0.0000214920,0.1298,0.129844
36600000,0.0000192022,0.1162,0.116169
36700000,0.0000096634,0.0585,0.058542
36800000,0.0000125590,0.0762,0.076186
36900000,0.0000296190,0.1799,0.179922
37000000,0.0000330646,0.2011,0.201124
37100000,0.0000407297,0.2481,0.248084
37200000,0.0000400926,0.2445,0.244532
37300000,0.0000347919,0.2125,0.212487
37400000,0.0000273365,0.1672,0.167178
